REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,case_cost
201810005363,Service closure Request with network responsibility,2018-10-16 08:29:08.000,2018-10-16 08:29:58.000,305,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,16.6
201810005363,Service closure Request with BO responsibility,2018-10-16 08:29:58.000,2018-10-16 09:56:33.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,17.400000000000002
201810005363,Pending Request for Reservation Closure,2018-10-16 09:56:33.000,2018-10-16 09:59:14.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,18.200000000000006
201810005363,Pending Liquidation Request,2018-10-16 09:59:14.000,2018-10-18 03:20:45.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,19.000000000000004
201810009774,Request created,2018-10-24 18:45:46.000,2018-10-24 18:47:23.000,422,APPLICANT,Inheritance,,Completed,1.5
201810009774,Service closure Request with network responsibility,2018-10-24 18:47:23.000,2018-10-24 18:56:30.000,,APPLICANT,Inheritance,,Completed,2.1
201810009774,Authorization Requested,2018-10-24 18:56:30.000,2018-10-25 09:36:44.000,465,DIRECTOR,Inheritance,,Completed,4.91
201811011149,Request created,2018-11-29 12:05:33.000,2018-11-29 12:06:03.000,506,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5
201811011149,Service closure Request with network responsibility,2018-11-29 12:06:03.000,2018-11-29 12:06:36.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1
201811011149,Authorization Requested,2018-11-29 12:06:36.000,2018-11-29 12:39:36.000,138,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91
201811011149,Service closure Request with BO responsibility,2018-11-29 12:39:36.000,2018-11-29 14:30:54.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,5.71
201812004749,Request created,2018-12-13 10:25:38.000,2018-12-13 10:27:21.000,266,APPLICANT,Inheritance,,Completed,1.5
201810000473,Request created,2018-10-02 08:28:06.000,2018-10-02 08:28:56.000,370,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201810000473,Service closure Request with network responsibility,2018-10-02 08:28:56.000,2018-10-02 08:31:47.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1
201810000374,Request created,2018-10-01 15:45:14.000,2018-10-01 15:45:27.000,141,APPLICANT,Client Recess,6 - Relationship changed,Completed,1.5
201811009640,Request created,2018-11-26 15:04:24.000,2018-11-26 15:05:54.000,217,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201810008162,Request created,2018-10-22 10:52:01.000,2018-10-22 10:52:31.000,230,APPLICANT,Porting,,Completed,1.5
201810008162,Pending Request for Network Information,2018-10-22 10:52:31.000,2018-11-08 18:19:47.000,332,APPLICANT,Porting,,Completed,2.1
201811007754,Request created,2018-11-21 10:23:11.000,2018-11-21 10:23:54.000,331,APPLICANT,Inheritance,,Completed,1.5
201811007754,Service closure Request with network responsibility,2018-11-21 10:23:54.000,2018-11-21 10:24:21.000,,APPLICANT,Inheritance,,Completed,2.1
201811007754,Authorization Requested,2018-11-21 10:24:21.000,2019-01-08 11:14:11.000,417,DIRECTOR,Inheritance,,Completed,4.91
201811007754,Service closure Request with BO responsibility,2019-01-08 11:14:11.000,2019-01-15 15:53:21.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71
201811007754,Pending Request for Reservation Closure,2019-01-15 15:53:21.000,2019-01-15 15:55:03.000,BOF,BACK-OFFICE,Inheritance,,Completed,6.51
201811007754,Pending Liquidation Request,2019-01-15 15:55:03.000,2019-01-17 03:17:27.000,BOF,BACK-OFFICE,Inheritance,,Completed,7.31
201810004787,Request created,2018-10-12 12:23:47.000,2018-10-12 12:26:35.000,107,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201810004787,Evaluating Request (NO registered letter),2018-10-12 12:26:35.000,2018-10-12 12:28:49.000,149,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0
201810004787,Service closure Request with network responsibility,2018-10-12 12:29:58.000,2018-10-12 12:35:40.000,149,APPLICANT,Client Recess,1 - Client lost,Completed,16.6
201810004787,Service closure Request with BO responsibility,2018-10-12 12:35:40.000,2018-10-18 09:04:21.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,17.400000000000002
201812007446,Request created,2018-12-19 16:47:55.000,2018-12-19 16:48:11.000,408,APPLICANT,Client Recess,,Completed,1.5
201812007446,Service closure Request with BO responsibility,2018-12-19 16:48:11.000,2018-12-24 11:39:07.000,,BACK-OFFICE,Client Recess,,Completed,2.3
201812007446,Pending Request for Reservation Closure,2018-12-24 11:39:07.000,2018-12-24 11:42:54.000,303,BACK-OFFICE,Client Recess,,Completed,3.1
201812007446,Pending Liquidation Request,2018-12-24 11:42:54.000,2018-12-28 03:08:34.000,303,BACK-OFFICE,Client Recess,,Completed,3.9
201811005420,Request created,2018-11-14 16:37:29.000,2018-11-14 16:38:03.000,368,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5
201811005420,Evaluating Request (NO registered letter),2018-11-14 16:38:03.000,2018-11-14 19:38:06.000,557,DIRECTOR,Client Recess,7 - Keep other relationships. Same dip,Completed,16.0
201812007189,Request created,2018-12-19 11:43:53.000,2018-12-19 11:46:51.000,110,APPLICANT,Inheritance,,Completed,1.5
201812007189,Service closure Request with network responsibility,2018-12-19 11:46:51.000,2018-12-19 11:57:43.000,,APPLICANT,Inheritance,,Completed,2.1
